ax,ay,az,wx,wy,wz,q_w,q_x,q_y,q_z,psi,theta,phi
-0.7,0.02,6.95,0.05,0.07,0.02,0.99994,0.0051,0.00977,-0.00119,-0.1306707324976209,1.1202591900428118,0.5831694619691971
-0.69,0.0,6.96,0.05,0.11,0.03,0.99994,0.00512,0.0099,-0.00118,-0.12942629266630834,1.1351549442681665,0.5854567147593883
-0.69,-0.0,6.97,0.05,0.15,0.04,0.99994,0.00514,0.01005,-0.00116,-0.1270234557251415,1.1523369945069775,0.5877533826597896
-0.7,-0.0,6.95,0.04,0.19,0.06,0.99993,0.00515,0.01022,-0.00113,-0.12347497432939816,1.171792305778973,0.5889199369643813
-0.71,-0.01,6.98,0.03,0.23,0.07,0.99993,0.00515,0.01041,-0.0011,-0.11992504028391496,1.1935501086895095,0.5889334712458196
-0.7,-0.0,7.0,0.02,0.27,0.09,0.99993,0.00515,0.01062,-0.00105,-0.11407114283557372,1.2175884654950841,0.5889705194176482
-0.72,-0.02,6.99,0.01,0.31,0.11,0.99993,0.00514,0.01085,-0.00099,-0.1070717914062231,1.2439122090231352,0.587874334466619
-0.73,-0.05,6.97,0.01,0.35,0.12,0.99992,0.00513,0.0111,-0.00093,-0.10006212660753779,1.272515864968202,0.5867853458315794
-0.81,-0.33,7.0,0.0,0.41,0.11,0.99992,0.00509,0.01137,-0.00087,-0.09307939130941982,1.3034216603438662,0.582253880881038
-0.81,-0.16,7.0,-0.0,0.46,0.07,0.99992,0.00507,0.01167,-0.00083,-0.08834724461202581,1.3377802713889728,0.5799892674555768
-0.78,-0.17,7.02,-0.01,0.51,0.04,0.99992,0.00504,0.012,-0.00081,-0.085905164288937,1.3755886558204422,0.5765515046307486
-0.81,-0.21,7.16,-0.03,0.58,0.01,0.99991,0.00499,0.01236,-0.0008,-0.08462344673563159,1.4168260383075066,0.5708122485898766
-0.8,0.18,7.1,-0.12,0.68,-0.02,0.99991,0.00494,0.01277,-0.00081,-0.08560921090946919,1.4638202755025473,0.5650350040499709
-0.85,-0.4,7.2,-0.16,0.73,-0.06,0.9999,0.00482,0.0132,-0.00084,-0.08898773628388817,1.51309714538201,0.5512071864280953
-0.74,-0.51,7.36,-0.24,0.8,-0.09,0.9999,0.00464,0.01365,-0.00088,-0.0936068523188919,1.5646807388051707,0.5304759772705175
-0.22,-0.82,7.47,-0.35,0.84,-0.18,0.99989,0.00439,0.01407,-0.00097,-0.10410506224514253,1.6128268326138817,0.5016437200698588
-0.18,-0.82,7.47,-0.46,0.87,-0.32,0.99989,0.00408,0.0145,-0.00113,-0.12274571695217215,1.662156276666498,0.4658018563753718
-0.09,-0.94,7.45,-0.56,0.9,-0.49,0.99988,0.00372,0.01494,-0.00137,-0.1506706044504896,1.7126314774692566,0.4240777690693419
-0.24,-0.9,7.37,-0.67,0.98,-0.67,0.99987,0.00331,0.01543,-0.0017,-0.1890196911468157,1.7688436675689365,0.3764280101360876
-0.29,-0.79,7.39,-0.75,1.05,-0.79,0.99987,0.00285,0.01596,-0.00209,-0.23437135774376264,1.8296370318064055,0.32288511158237837
-0.72,-0.68,7.48,-0.82,1.14,-0.87,0.99986,0.00237,0.01657,-0.00252,-0.2843857664722084,1.899548651440828,0.26690492793974047
-1.49,-0.56,8.54,-0.86,1.11,-0.92,0.99985,0.0019,0.01719,-0.00297,-0.3367416053470236,1.9705685309686047,0.21196506035807453
-2.83,-0.52,9.9,-0.65,0.66,-0.85,0.99984,0.00155,0.0176,-0.00339,-0.3855176365370711,2.0175077610733227,0.17085704240879615
-3.31,-0.49,10.52,-0.38,0.17,-0.72,0.99983,0.00134,0.01776,-0.00375,-0.42719550691195085,2.0358042716172013,0.14598835987787903
-3.28,-0.64,10.78,-0.05,-0.33,-0.54,0.99984,0.00129,0.01767,-0.00402,-0.4582589179359003,2.0255250038717096,0.1397456763423321
-3.01,-1.08,10.69,0.28,-0.78,-0.43,0.99984,0.0014,0.01735,-0.00424,-0.48330345780977874,1.9889250809909982,0.15206433963297952
-2.55,-1.31,10.3,0.61,-1.33,-0.48,0.99985,0.00166,0.01675,-0.00449,-0.511544995473276,1.9203343079961404,0.18167701024183674
