q_w_int,q_x_int,q_y_int,q_z_int,q_w_fixed,q_x_fixed,q_y_fixed,q_z_fixed
15854,62222,2392,65324,0.9676513671875,-0.2022705078125,0.14599609375,-0.012939453125
15853,62226,2406,65344,0.96759033203125,-0.2020263671875,0.1468505859375,-0.01171875
15852,62235,2425,65366,0.967529296875,-0.20147705078125,0.14801025390625,-0.0103759765625
15848,62230,2447,65395,0.96728515625,-0.2017822265625,0.14935302734375,-0.00860595703125
15840,62206,2471,65429,0.966796875,-0.2032470703125,0.15081787109375,-0.00653076171875
15831,62179,2497,65463,0.96624755859375,-0.20489501953125,0.15240478515625,-0.00445556640625
15823,62152,2515,65497,0.96575927734375,-0.20654296875,0.15350341796875,-0.00238037109375
15815,62116,2519,65534,0.96527099609375,-0.208740234375,0.15374755859375,-0.0001220703125
15804,62073,2527,37,0.964599609375,-0.21136474609375,0.15423583984375,0.00225830078125
15794,62034,2533,74,0.9639892578125,-0.2137451171875,0.15460205078125,0.0045166015625
15783,61988,2535,115,0.96331787109375,-0.216552734375,0.15472412109375,0.00701904296875
15773,61940,2526,159,0.96270751953125,-0.219482421875,0.1541748046875,0.00970458984375
15766,61900,2502,206,0.9622802734375,-0.221923828125,0.1527099609375,0.0125732421875
15764,61875,2474,253,0.962158203125,-0.22344970703125,0.1510009765625,0.01544189453125
15765,61867,2446,300,0.96221923828125,-0.22393798828125,0.1492919921875,0.018310546875
15768,61869,2423,350,0.96240234375,-0.22381591796875,0.14788818359375,0.0213623046875
15771,61879,2408,403,0.96258544921875,-0.22320556640625,0.14697265625,0.02459716796875
15774,61892,2397,458,0.9627685546875,-0.222412109375,0.14630126953125,0.0279541015625
15777,61906,2386,514,0.96295166015625,-0.2215576171875,0.1456298828125,0.0313720703125
15780,61917,2377,570,0.963134765625,-0.22088623046875,0.14508056640625,0.0347900390625
15782,61925,2372,624,0.9632568359375,-0.22039794921875,0.144775390625,0.0380859375
15783,61934,2373,675,0.96331787109375,-0.2198486328125,0.14483642578125,0.04119873046875
